ClusterNum,Глубина резания,Подача,Скорость резания (GC1025),Скорость резания (GC2015),Скорость резания (GC2025),Скорость резания (GC2035)
0,3,0.3,170,270,0,0
0,3.5,0.5,105,215,0,0
0,1.5,0.35,0,255,0,0
0,2,0.45,120,225,0,0
0,2,0.35,150,255,0,0
0,2.5,0.45,120,225,0,0
0,2,0.35,0,255,0,0
0,2.5,0.4,130,240,0,0
0,1.5,0.3,170,270,0,0
0,1.5,0.5,105,215,0,0
0,3,0.3,170,170,0,0
0,3.5,0.5,105,215,0,0
1,3,0.25,0,280,225,165
1,3,0.3,0,270,250,160
1,3,0.37,0,250,185,150
1,4,0.25,0,280,225,165
1,4,0.3,0,270,205,160
1,4,0.37,0,0,185,150
1,2,0.25,0,280,225,165
1,2,0.3,0,270,205,0
1,3,0.25,0,280,225,165
1,3,0.3,0,270,205,160
1,3,0.25,0,280,225,165
1,3,0.3,0,270,205,160
1,3,0.37,0,280,225,150
1,4,0.3,0,270,205,160
1,4,0.37,0,250,185,150
1,3,0.25,0,280,205,165
1,3,0.3,0,270,185,160
1,4,0.25,0,280,225,165
1,4,0.3,0,270,205,160
1,4,0.37,0,250,225,0
1,2,0.25,0,280,205,165
1,2,0.25,0,280,185,165
1,2,0.3,0,270,225,0
1,2.5,0.25,0,280,225,165
1,2.5,0.3,0,270,205,160
