ClusterNum,Глубина резания,Подача,Скорость резания (CC6090),Скорость резания (GC32005),Скорость резания (GC3215)
0,3,0.3,0,0,190
0,3.5,0.5,0,0,160
0,3.5,0.4,0,0,175
0,3.5,0.4,0,0,175
0,2,0.45,0,0,170
0,2,0.35,0,0,185
0,2.5,0.45,0,0,170
0,3.5,0.6,0,0,150
0,2,0.35,0,0,185
0,2.5,0.4,0,0,175
0,1.5,0.3,0,0,190
0,1.5,0.5,0,0,160
0,3,0.3,0,0,190
0,3.5,0.5,0,0,160
1,3,0.35,0,325,185
1,3,0.4,0,310,175
1,3,0.45,0,295,170
1,4,0.35,0,325,185
1,4,0.4,0,310,175
1,4,0.45,0,295,170
1,3.6,0.2,610,0,0
1,3.6,0.3,540,0,0
1,3.6,0.4,475,0,0
1,4.8,0.3,540,0,0
1,4.8,0.4,575,0,0
1,2,0.35,0,0,185
1,2,0.4,0,0,175
1,2.5,0.35,0,325,185
1,2.5,0.4,0,310,175
1,2.5,0.35,0,0,185
1,3,0.35,0,325,185
1,3,0.4,0,310,175
1,3,0.45,0,295,170
1,4,0.4,0,310,175
1,4,0.45,0,295,170
1,3.6,0.2,610,0,0
1,3.6,0.3,540,0,0
1,3.6,0.4,475,0,0
1,3,0.35,0,325,185
1,3,0.4,0,310,175
1,4,0.35,0,325,185
1,4,0.4,0,310,175
1,4,0.45,0,295,170
1,4.8,0.2,610,0,0
1,4.8,0.3,540,0,0
1,4.8,0.4,475,0,0
1,2,0.3,0,325,190
1,2,0.35,0,340,185
1,2,0.35,0,0,185
1,2,0.4,0,0,175
1,2.5,0.35,0,325,185
1,2.5,0.4,0,310,175
1,2.5,0.45,0,295,170
1,3,0.2,610,0,0
1,3,0.3,540,0,0
1,3,0.4,470,0,0
